id,name,flag,vessel_type_id,imo,call_sign,bruttotons,length_overall,vessel_status_id,checked,in_zone
495,Willem Van Der Zwan,NL,2,9187306.0,PCII,9494.0,142.0,1,True,True
551,ADEXE PRIMERO,ES,2,,EACQ,852.0,50.0,3,True,False
561,Polar Amaroq,GL,2,9266255.0,OWPN,3047.0,83.8,1,True,True
569,Al Nasr,OM,2,8604010.0,A4DH8,2489.0,78.0,1,True,False
570,Tuneq,GL,2,8709860.0,OWVK,1834.0,70.0,1,True,True
577,Margiris,LT,2,8301187.0,LYRV,9499.0,143.0,1,True,True
579,Wiron 6,NL,2,9249568.0,PDCH,1230.0,51.0,1,True,True
713,Clipperton (SW),SW,2,9816775.0,SBCR,1568.0,63.0,1,True,True
714,Nordsjøbas,NO,2,9287493.0,LFJF,2055.0,70.0,1,True,True
715,Polar I,MA,2,9227431.0,CNA5938,1211.0,61.0,1,True,True
719,Steinsund,,2,9253507.0,V5EP,1964.0,71.0,1,True,False
738,Sighvatur Bjarnason VE81,IS,2,8612378.0,TFJJ,1395.0,67.0,1,True,True
746,Havbas,NO,2,9038971.0,LEJN,719.0,44.0,1,True,True
753,Segla,NO,2,9288978.0,LLZL,436.0,36.0,1,True,True
758,Skagøysund,NO,2,9029255.0,LMUR,498.0,38.0,1,True,True
759,Adriana,PE,2,9168673.0,OA5167,854.0,50.0,1,True,True
761,Skulbaren,NO,2,9379090.0,JWLH,498.0,38.0,1,True,True
766,Slettholmen,NO,2,9485875.0,LAVF,472.0,35.0,1,True,True
767,Aurora Australis,AU,2,9656395.0,VKCE,932.0,47.0,1,True,True
768,Einar Erlend,NO,2,9663398.0,LDHW,609.0,41.0,1,True,True
774,Ketlin,NO,2,6824434.0,LMRJ,650.0,48.0,1,True,True
777,Vestbris,NO,2,9514133.0,LCJG,499.0,35.0,4,True,True
782,Hepsøhav,NO,2,9430117.0,LARU,499.0,37.0,1,True,True
785,Runing,NO,2,9576222.0,JWQZ,496.0,35.0,1,True,True
787,Storm 1,NO,2,6620814.0,LIWS,395.0,42.0,4,True,True
789,Orfjord,NO,2,9647112.0,LDAA,497.0,35.0,1,True,True
790,Orskjær,NO,2,8308408.0,LLVA,320.0,35.0,1,True,True
803,Emma,NO,2,9429924.0,LALD,498.0,38.0,1,True,True
810,Lise Beate,NO,2,9672650.0,LDQN,498.0,39.0,1,True,True
814,Hillersøy,NO,2,9229453.0,LJWW,499.0,36.0,1,True,True
817,Utsyn,NO,2,9028603.0,LLAV,331.0,34.79,1,True,True
823,Sulefisk,BZ,2,9056870.0,V3QN,415.0,39.4,1,True,True
824,Frekøy Viking,NO,2,9675092.0,LECW,499.0,39.0,1,True,True
828,Brattskjær,NO,2,9588988.0,3YKA,886.0,43.8,1,True,True
829,Humbak,PL,2,8404757.0,SNSA,474.0,39.0,1,True,True
830,Vesturbúgvin,FO,2,9592329.0,OW2006,906.0,43.0,1,True,True
831,Tunfisk,NO,2,8647878.0,LLWG,424.0,37.0,1,True,True
832,Håflu,NO,2,9053725.0,LEQI,598.0,43.0,1,True,True
834,MOSTRASON,NO,2,7617022.0,LNYH,275.0,32.0,3,True,False
836,Atløy Viking,NO,2,9225392.0,LJSY,497.0,33.76,1,True,True
837,Straumbas,NO,2,9168685.0,LEWL,852.0,50.0,1,True,True
847,Fagraberg,FO,2,9810458.0,OW2310,4141.0,82.0,1,True,True
850,Glomskar,FI,2,8331833.0,OJUS,373.0,39.0,1,True,True
853,GRETHE HVIID,DK,2,7510614.0,OWSV,371.0,38.0,3,True,False
855,Jette Kristine,DK,2,8421860.0,OWIU,638.0,43.0,3,True,True
856,MARIA HAMETNER,DK,2,7431569.0,OXHQ,450.0,40.0,3,True,False
860,MAJA HAMETNER,DK,2,7392323.0,OXCC,449.0,40.0,3,True,False
861,Lingbank (CA),CA,2,8508307.0,CFA2935,493.0,42.0,1,True,False
862,SUSANITA,DK,2,7423952.0,OWEP,375.0,41.0,3,True,False
863,NORTH SEA (OLD),DK,2,6905355.0,OVSZ,263.0,35.0,3,True,True
864,ERIKKE VAD,DK,2,,OWUT,441.0,41.0,3,True,False
877,Emmalie,DK,2,5381291.0,OZHX,234.0,33.0,3,True,False
880,Courage af Skillinge,SW,2,8863458.0,SIVR,360.0,35.0,1,True,True
